question,answer,category,source,type
ما هي شروط القبول العامة في جامعة جدة؟,أن يكون المتقدم سعودي الجنسية أو من أم سعودية، وحاصلًا على شهادة الثانوية العامة أو ما يعادلها.,القبول,University of Jeddah,faq
هل يشترط اختبار القدرات والتحصيلي؟,نعم، يشترط توفر درجات القدرات والتحصيلي حسب المسار المطلوب.,القبول,University of Jeddah,faq
كم مدة صلاحية اختبار القدرات والتحصيلي؟,حسب ما يحدده المركز الوطني للقياس.,القبول,University of Jeddah,faq
هل يمكن قبول طالب مفصول أكاديميًا؟,لا يتم قبول الطالب المفصول أكاديميًا من جامعة أخرى.,القبول,University of Jeddah,faq
هل تقبل جامعة جدة الطلاب المقبولين في جامعات أخرى؟,لا يتم قبول أي طالب مقبول في جامعة أخرى إلا بعد إلغاء قبوله منها.,القبول,University of Jeddah,faq
هل تقبل الجامعة شهادة ثانوية قديمة؟,يجب ألا يكون قد مضى على شهادة الثانوية أكثر من خمس سنوات.,القبول,University of Jeddah,faq
هل يمكن للموظف التقديم على جامعة جدة؟,نعم، بعد الحصول على موافقة جهة العمل.,القبول,University of Jeddah,faq
هل القبول متاح للسعوديين فقط؟,القبول متاح للسعوديين وأبناء المواطنات.,القبول,University of Jeddah,faq
كيف يتم حساب النسبة الموزونة للمسار الصحي؟,40% تحصيلي، 30% قدرات، 30% ثانوية عامة.,النسب الموزونة,University of Jeddah,faq
كيف يتم حساب النسبة الموزونة للتخصصات العلمية؟,تعتمد على الثانوية العامة والقدرات والتحصيلي حسب التخصص.,النسب الموزونة,University of Jeddah,faq
كيف يتم حساب النسبة الموزونة للتخصصات الإنسانية؟,60% قدرات و40% ثانوية عامة.,النسب الموزونة,University of Jeddah,faq
هل تختلف النسبة الموزونة حسب المسار؟,نعم، تختلف النسب الموزونة حسب المسار والتخصص.,النسب الموزونة,University of Jeddah,faq
كيف أقدم على جامعة جدة؟,يتم التقديم إلكترونيًا عبر بوابة القبول الخاصة بجامعة جدة.,التقديم,University of Jeddah,faq
ما هي خطوات التقديم على جامعة جدة؟,الدخول لبوابة القبول، إدخال البيانات، ترتيب الرغبات، ثم تأكيد الطلب.,التقديم,University of Jeddah,faq
هل التقديم على جامعة جدة إلكتروني؟,نعم، التقديم يتم إلكترونيًا بالكامل.,التقديم,University of Jeddah,faq
هل يمكن تعديل الرغبات بعد التقديم؟,يمكن تعديل الرغبات خلال فترة التقديم المحددة.,التقديم,University of Jeddah,faq
هل يجب ترتيب الرغبات؟,نعم، يجب ترتيب الرغبات حسب أولوية الطالب.,التقديم,University of Jeddah,faq
ما الذي يحدث إذا لم أؤكد القبول؟,يتم إلغاء الترشيح إذا لم يتم تأكيد القبول خلال المدة المحددة.,الترشيح,University of Jeddah,faq
كيف أعرف نتيجة الترشيح؟,من خلال بوابة القبول والرسائل النصية والبريد الإلكتروني.,الترشيح,University of Jeddah,faq
هل يوجد قبول نهائي بعد الترشيح؟,نعم، بعد تأكيد الترشيح يتم إصدار القبول النهائي.,الترشيح,University of Jeddah,faq
ما هو المسار الصحي؟,برنامج يتم فيه قبول الطلاب ثم توزيعهم على الكليات الصحية حسب المعدلات والمعايير.,المسار الصحي,University of Jeddah,faq
ما هي كليات المسار الصحي؟,تشمل الطب والعلوم الطبية التطبيقية.,المسار الصحي,University of Jeddah,faq
هل يوجد تنافس في المسار الصحي؟,نعم، يتم التنافس بناءً على المعدل والمعايير المحددة.,المسار الصحي,University of Jeddah,faq
كيف يتم التسكين في الكليات الصحية؟,يتم التسكين حسب المعدل التراكمي والمعايير المحددة.,المسار الصحي,University of Jeddah,faq
ما هي المواد المعيارية لكلية الطب؟,تشمل اللغة الإنجليزية، الكيمياء الحيوية، والمهارات الطبية.,المسار الصحي,University of Jeddah,faq
هل يمكن التحويل من المسار الصحي؟,في حال عدم تحقيق المعدل المطلوب يتم التحويل لتخصص آخر حسب المقاعد المتاحة.,المسار الصحي,University of Jeddah,faq
هل يوجد قبول مباشر في جامعة جدة؟,نعم، يوجد قبول مباشر في جامعة جدة لبعض الكليات والتخصصات حسب شروط القبول والمقاعد المتاحة.,القبول المباشر,University of Jeddah,faq
ما هي تخصصات كلية الحاسب وتقنية المعلومات؟,علوم الحاسب، الأمن السيبراني، علوم البيانات، وتقنية المعلومات.,التخصصات,University of Jeddah,faq
ما هي تخصصات كلية الأعمال؟,إدارة الأعمال، المحاسبة، التمويل، التسويق، ونظم المعلومات الإدارية.,التخصصات,University of Jeddah,faq
ما هي تخصصات كلية الهندسة؟,الهندسة الصناعية، الكهربائية، الكيميائية، والميكانيكية.,التخصصات,University of Jeddah,faq
ما هي تخصصات كلية العلوم؟,الكيمياء، الرياضيات، الفيزياء، والأحياء الدقيقة.,التخصصات,University of Jeddah,faq
ما هي تخصصات كلية اللغات والترجمة؟,اللغة الإنجليزية، الصينية، واليابانية.,التخصصات,University of Jeddah,faq
ما هي تخصصات كلية الإعلام؟,الإعلام الرقمي، الإذاعة والتلفزيون، والصحافة.,التخصصات,University of Jeddah,faq
ما هي تخصصات كلية الشريعة والقانون؟,القانون، الشريعة، والدراسات الإسلامية.,التخصصات,University of Jeddah,faq
